Element,Gx,Gy,Gz,s,Length,Value,Chi1,Chi2,Chi3,#_µ,mag.#,type
QC1LPE121,1            1.678509,-452.793247,-1.74E-05,1.210001,0,-2.42E-06,2.786787,-0.015821,-3.50E-19,311,2,112
,,,,,,,,,,,,
QC1LE1215,1.678509,-452.793247,-1.74E-05,1.210001,0.01,-0.010355,2.786787,-0.015821,-3.50E-19,312,2,113
,,,,,,,,,,,,
QC1LPE121,9            1.688497,-452.792761,-2.02E-05,1.220001,0,-2.42E-06,2.787921,-0.015584,-3.44E-19,313,2,112
,,,,,,,,,,,,
QC1LPE122,1            1.688497,-452.792761,-2.02E-05,1.220001,0,-1.62E-06,2.787921,-0.015589,-3.44E-19,315,2,114
,,,,,,,,,,,,
QC1LE1225,1.688497,-452.792761,-2.02E-05,1.220001,0.01,-0.0183341,2.787921,-0.015589,-3.44E-19,316,2,115
,,,,,,,,,,,,
QC1LPE122,9            1.698485,-452.792275,-2.29E-05,1.230001,0,-1.62E-06,2.789654,-0.015296,-3.34E-19,317,2,114
,,,,,,,,,,,,
QC1LPE123,1            1.698485,-452.792275,-2.29E-05,1.230001,0,-1.11E-06,2.789654,-0.0153,-3.34E-19,319,2,116
,,,,,,,,,,,,
QC1LE1235,1.698485,-452.792275,-2.29E-05,1.230001,0.01,-0.0250742,2.789654,-0.0153,-3.34E-19,320,2,117
,,,,,,,,,,,,
QC1LPE123,9            1.708473,-452.791788,-2.55E-05,1.240001,0,-1.11E-06,2.791816,-0.014924,-3.22E-19,321,2,116
,,,,,,,,,,,,
QC1LPE124,1            1.708473,-452.791788,-2.55E-05,1.240001,0,-7.79E-07,2.791816,-0.014927,-3.22E-19,323,2,118
,,,,,,,,,,,,
QC1LE1245,1.708473,-452.791788,-2.55E-05,1.240001,0.01,-0.02893,2.791816,-0.014927,-3.22E-19,324,2,119
,,,,,,,,,,,,
QC1LPE124,9            1.718461,-452.7913,-2.81E-05,1.250001,0,-7.79E-07,2.794189,-0.014485,-3.09E-19,325,2,118
,,,,,,,,,,,,
QC1LPE125,1            1.718461,-452.7913,-2.81E-05,1.250001,0,-5.65E-07,2.794189,-0.014487,-3.09E-19,327,2,120
,,,,,,,,,,,,
QC1LE1255,1.718461,-452.7913,-2.81E-05,1.250001,0.01,-0.0304501,2.794189,-0.014487,-3.09E-19,328,2,121
,,,,,,,,,,,,
QC1LPE125,9            1.728450,-452.790813,-3.06E-05,1.260001,0,-5.65E-07,2.796626,-0.014009,-2.96E-19,330,2,120
,,,,,,,,,,,,
QC1LPE126,1            1.728450,-452.790813,-3.06E-05,1.260001,0,-4.24E-07,2.796626,-0.01401,-2.96E-19,332,2,122
,,,,,,,,,,,,
QC1LE1265,1.72845,-452.790813,-3.06E-05,1.260001,0.01,-0.0308446,2.796626,-0.01401,-2.96E-19,333,2,123
,,,,,,,,,,,,
QC1LPE126,9            1.738438,-452.790325,-3.30E-05,1.270001,0,-4.24E-07,2.799061,-0.013516,-2.82E-19,334,2,122
,,,,,,,,,,,,
QC1LPE127,1            1.738438,-452.790325,-3.30E-05,1.270001,0,-3.32E-07,2.799061,-0.013517,-2.82E-19,336,2,124
,,,,,,,,,,,,
QC1LE1275,1.738438,-452.790325,-3.30E-05,1.270001,0.01,-0.0308674,2.799061,-0.013517,-2.82E-19,337,2,125
,,,,,,,,,,,,
QC1LPE127,9            1.748426,-452.789836,-3.53E-05,1.280001,0,-3.32E-07,2.801474,-0.013018,-2.69E-19,338,2,124
,,,,,,,,,,,,
QC1LPE128,1            1.748426,-452.789836,-3.53E-05,1.280001,0,-2.69E-07,2.801474,-0.013018,-2.69E-19,340,2,126
,,,,,,,,,,,,
QC1LE1285,1.748426,-452.789836,-3.53E-05,1.280001,0.01,-0.030808,2.801474,-0.013018,-2.69E-19,341,2,127
,,,,,,,,,,,,
QC1LPE128,9            1.758414,-452.789347,-3.75E-05,1.290001,0,-2.69E-07,2.803858,-0.012517,-2.56E-19,342,2,126
,,,,,,,,,,,,
QC1LPE129,1            1.758414,-452.789347,-3.75E-05,1.290001,0,-2.25E-07,2.803858,-0.012517,-2.56E-19,344,2,128
,,,,,,,,,,,,
